image,color,foam,clarity,label
urine specimen/U001.jpg,pale_yellow,none,clear,pale_yellow_none_clear
urine specimen/U002.jpg,pale_yellow,none,clear,pale_yellow_none_clear
urine specimen/U003.jpg,pale_yellow,none,clear,pale_yellow_none_clear
urine specimen/U004.jpg,pale_yellow,none,clear,pale_yellow_none_clear
urine specimen/U005.jpg,pale_yellow,none,clear,pale_yellow_none_clear
urine specimen/U006.jpg,pale_yellow,mild_white,clear,pale_yellow_mild_white_clear
urine specimen/U016.jpg,pale_yellow,moderate_white,slightly_cloudy,pale_yellow_moderate_white_slightly_cloudy
urine specimen/U021.jpg,yellow,none,clear,yellow_none_clear
urine specimen/U022.jpg,yellow,none,clear,yellow_none_clear
urine specimen/U023.jpg,yellow,none,clear,yellow_none_clear
urine specimen/U024.jpg,yellow,none,clear,yellow_none_clear
urine specimen/U025.jpg,yellow,none,clear,yellow_none_clear
urine specimen/U036.jpg,yellow,moderate,cloudy,yellow_moderate_cloudy
urine specimen/U037.jpg,yellow,moderate,cloudy,yellow_moderate_cloudy
urine specimen/U038.jpg,yellow,moderate,cloudy,yellow_moderate_cloudy
urine specimen/U041.jpg,dark_yellow,none,clear,dark_yellow_none_clear
urine specimen/U042.jpg,dark_yellow,none,clear,dark_yellow_none_clear
urine specimen/U043.jpg,dark_yellow,none,clear,dark_yellow_none_clear
urine specimen/U044.jpg,dark_yellow,none,clear,dark_yellow_none_clear
urine specimen/U045.jpg,dark_yellow,none,clear,dark_yellow_none_clear
urine specimen/U061.jpg,amber,none,clear,amber_none_clear
urine specimen/U062.jpg,amber,none,clear,amber_none_clear
urine specimen/U063.jpg,amber,none,clear,amber_none_clear
urine specimen/U064.jpg,amber,none,clear,amber_none_clear
urine specimen/U065.jpg,amber,none,clear,amber_none_clear
urine specimen/U071.jpg,red_pink,clear_foam,clear,red_pink_clear_foam_clear
urine specimen/U072.jpg,red_pink,clear_foam,clear,red_pink_clear_foam_clear
urine specimen/U073.jpg,red_pink,clear_foam,clear,red_pink_clear_foam_clear
urine specimen/U076.jpg,red_pink,foam,cloudy,red_pink_foam_cloudy
urine specimen/U086.jpg,brown,low,semi_transparent,brown_low_semi_transparent
urine specimen/U087.jpg,brown,low,semi_transparent,brown_low_semi_transparent
